Entry,Organism,Protein families,Length,Fragment,Toxic dose,PTM
C0JAS8,Loxosceles spadicea (Recluse spider),"Arthropod phospholipase D family, Class II subfamily",273,fragment,,
P0CE83,Loxosceles intermedia (Brown spider),"Arthropod phospholipase D family, Class II subfamily",306,,,
C0JAR2,Loxosceles hirsuta (Recluse spider),"Arthropod phospholipase D family, Class II subfamily",273,fragment,,
B2KKV6,Loxosceles intermedia (Brown spider),"Arthropod phospholipase D family, Class II subfamily",306,,,
C0JAS1,Loxosceles hirsuta (Recluse spider),"Arthropod phospholipase D family, Class II subfamily",273,fragment,,
C0JAY4,Loxosceles sabina (Tucson recluse spider),"Arthropod phospholipase D family, Class II subfamily",273,fragment,,
C0JAZ0,Loxosceles sabina (Tucson recluse spider),"Arthropod phospholipase D family, Class II subfamily",273,fragment,,
Q5YD77,Loxosceles boneti (North American fiddleback spider),"Arthropod phospholipase D family, Class II subfamily",279,,LD(50) is 200-250 ug/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:16759681}.,
C0JAW2,Loxosceles apachea (Apache recluse spider),"Arthropod phospholipase D family, Class II subfamily",273,fragment,,
C0JAU8,Loxosceles sabina (Tucson recluse spider),"Arthropod phospholipase D family, Class II subfamily",276,fragment,,
Q7Z1Y7,Loxosceles arizonica (Arizona brown spider),"Arthropod phospholipase D family, Class II subfamily",320,,,
C0JAU6,Loxosceles arizonica (Arizona brown spider),"Arthropod phospholipase D family, Class II subfamily",276,fragment,,
C0JAX4,Loxosceles deserta (Desert recluse spider),"Arthropod phospholipase D family, Class II subfamily",273,fragment,,
Q7M485,Loxosceles reclusa (Brown recluse spider),"Arthropod phospholipase D family, Class II subfamily",35,fragment,,Contains 2 disulfide bonds
C0JB05,Loxosceles spadicea (Recluse spider),"Arthropod phospholipase D family, Class II subfamily",272,fragment,,
B2KKW0,Loxosceles intermedia (Brown spider),"Arthropod phospholipase D family, Class II subfamily",310,,,
Q3C256,Actinia equina (Beadlet anemone),,83,,LD(50) is 80 ug/kg against crab (P.dehaani). {ECO:0000269|PubMed:16183092}.,Contains 3 disulfide bonds
A7X3V0,Telescopus dhara (Egyptian catsnake),"Snake three-finger toxin family, Non-conventional subfamily, Boigatoxin sub-subfamily",111,,,
A0S864,Boiga irregularis (Brown tree snake),"Snake three-finger toxin family, Non-conventional subfamily, Boigatoxin sub-subfamily",109,,LD(50) is 0.55 mg/kg by intraperitoneal injection into geckos. {ECO:0000269|PubMed:18952712}.; LD(50) is 0.22 mg/kg by intraperitoneal injection into chicks. {ECO:0000269|PubMed:18952712}.,
C0HJW9,Naja kaouthia (Monocled cobra) (Naja siamensis),"Snake three-finger toxin family, Non-conventional subfamily, Orphan group II sub-subfamily",33,fragment,,
C6JUP2,Micrurus corallinus (Brazilian coral snake),"Snake three-finger toxin family, Non-conventional subfamily, Orphan group II sub-subfamily",88,,,
Q8AY49,Bungarus candidus (Malayan krait),"Snake three-finger toxin family, Non-conventional subfamily, Orphan group II sub-subfamily",86,,,
O42256,Naja sputatrix (Malayan spitting cobra) (Naja naja sputatrix),"Snake three-finger toxin family, Non-conventional subfamily, Orphan group II sub-subfamily",86,,,
Q802B3,Naja sputatrix (Malayan spitting cobra) (Naja naja sputatrix),"Snake three-finger toxin family, Non-conventional subfamily, Orphan group II sub-subfamily",86,,,
Q9W7I3,Naja sputatrix (Malayan spitting cobra) (Naja naja sputatrix),"Snake three-finger toxin family, Non-conventional subfamily, Orphan group II sub-subfamily",86,,,
Q802B2,Naja sputatrix (Malayan spitting cobra) (Naja naja sputatrix),"Snake three-finger toxin family, Non-conventional subfamily, Orphan group II sub-subfamily",86,,,
P01399,Naja annulifera (Banded Egyptian cobra) (Naja haje annulifera),"Snake three-finger toxin family, Non-conventional subfamily, Orphan group II sub-subfamily",65,,LD(50) is 4.82 mg/kg by intravenous injection. {ECO:0000269|PubMed:1213685}.,
A2CKF7,Bungarus fasciatus (Banded krait) (Pseudoboa fasciata),"Snake three-finger toxin family, Non-conventional subfamily, Orphan group II sub-subfamily",86,,,
P85520,Naja oxiana (Central Asian cobra) (Oxus cobra),"Snake three-finger toxin family, Non-conventional subfamily, Orphan group II sub-subfamily",65,,,
P15818,Bungarus multicinctus (Many-banded krait),"Snake three-finger toxin family, Non-conventional subfamily, Orphan group IV sub-subfamily",87,,,
O12963,Bungarus multicinctus (Many-banded krait),"Snake three-finger toxin family, Non-conventional subfamily, Orphan group V sub-subfamily",89,,,
Q9YGJ0,Bungarus multicinctus (Many-banded krait),"Snake three-finger toxin family, Non-conventional subfamily, Orphan group V sub-subfamily",89,,LD(50) is 0.15 mg/kg by intravenous injection into mice. {ECO:0000269|PubMed:10082161}.,
P25682,Dendroaspis jamesoni kaimosae (Eastern Jameson's mamba),"Snake three-finger toxin family, Non-conventional subfamily, Orphan group XIX sub-subfamily",63,,LD(50) is 10 mg/kg by intravenous injection. {ECO:0000269|Ref.1}.,
A7X3R6,Leioheterodon madagascariensis (Malagasy giant hognose snake) (Heterodon madagascariensis),"Snake three-finger toxin family, Non-conventional subfamily",85,,,
P86424,Micrurus frontalis (Coral snake),"Snake three-finger toxin family, Non-conventional subfamily",64,,,
P34075,Naja annulata annulata (Banded water cobra) (Boulengerina annulata annulata),"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",61,,LD(50) is 0.052 mg/kg by intraperitoneal injection. {ECO:0000269|PubMed:1814007}.,
P01424,Naja melanoleuca (Forest cobra) (Black-lipped cobra),"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",61,,,
P10457,Laticauda colubrina (Yellow-lipped sea krait) (Banded sea krait),"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",83,,,
P0CB06,Oxyuranus scutellatus scutellatus (Australian taipan) (Coastal taipan),"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",62,,LD(50) is 63 ug/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:8672493}.,
Q9YGC4,Laticauda laticaudata (Blue-ringed sea krait) (Blue-lipped sea krait),"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",83,,,
F5CPD9,Micrurus altirostris (Uruguayan coral snake) (Elaps altirostris),"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",83,,,
F5CPE4,Micrurus altirostris (Uruguayan coral snake) (Elaps altirostris),"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",83,,,
P62388,Hydrophis platurus (Yellow-bellied sea snake) (Pelamis platura),"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",60,,LD(50) is 0.07 mg/kg by intraperitoneal injection for pelamitoxin A. {ECO:0000269|PubMed:1014035}.,
P59275,Naja kaouthia (Monocled cobra) (Naja siamensis),"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",61,,LD(50) is 400 mg/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:12039691}.,
P60771,Naja kaouthia (Monocled cobra) (Naja siamensis),"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",83,,LD(50) is 65 mg/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:12039691}.,
P10460,Laticauda laticaudata (Blue-ringed sea krait) (Blue-lipped sea krait),"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",62,,,
P0CAR3,Micrurus pyrrhocryptus (Coral snake),"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",21,fragment,,Contains 4 disulfide bonds
P60775,Laticauda semifasciata (Black-banded sea krait) (Pseudolaticauda semifasciata),"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",83,,,
Q9W7K0,Pseudonaja textilis (Eastern brown snake),"Snake three-finger toxin family, Short-chain subfamily, Type III alpha-neurotoxin sub-subfamily",79,,LD(50) is 1 mg/kg by intravenous injection into mice. {ECO:0000269|PubMed:10518793}.,
P0DMV6,Daboia russelii (Russel's viper) (Vipera russelii),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",20,fragment,,
P01455,Naja annulifera (Banded Egyptian cobra) (Naja haje annulifera),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",60,,LD(50) is 3 mg/kg by intravenous injection. {ECO:0000269|PubMed:4803830}.,
P01448,Naja melanoleuca (Forest cobra) (Black-lipped cobra),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",60,,LD(50) is 1.37 mg/kg by intravenous injection. {ECO:0000269|Ref.1}.,
P01447,Naja naja (Indian cobra),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",60,,,
P01456,Naja nivea (Cape cobra) (Coluber niveus),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",60,,LD(50) is 2.9 mg/kg by subcutaneous injection into mice. {ECO:0000269|PubMed:823968}.,
P01468,Naja pallida (Red spitting cobra),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",60,,,
O93472,Naja sputatrix (Malayan spitting cobra) (Naja naja sputatrix),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",81,,,This toxin lacks one of the four disulfide bonds found in similar cardiotoxins.
P01462,Naja annulifera (Banded Egyptian cobra) (Naja haje annulifera),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",60,,LD(50) is 1.98 mg/kg by intravenous injection. {ECO:0000269|PubMed:1213684}.,
P24780,Naja naja (Indian cobra),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",60,,LD(50) is 40 to 55 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:6525197}.,
P49123,Naja atra (Chinese cobra),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",81,,,
P01471,Hemachatus haemachatus (Rinkhals) (Sepedon haemachatus),"Snake three-finger toxin family, Short-chain subfamily, Type IB cytotoxin sub-subfamily",61,,,
Q53B46,Ophiophagus hannah (King cobra) (Naja hannah),"Snake three-finger toxin family, Short-chain subfamily, Beta-cardiotoxin sub-subfamily",84,,,
P60234,Dendroaspis angusticeps (Eastern green mamba) (Naja angusticeps),"Snake three-finger toxin family, Short-chain subfamily, Aminergic toxin sub-subfamily",65,,,
P60235,Dendroaspis angusticeps (Eastern green mamba) (Naja angusticeps),"Snake three-finger toxin family, Short-chain subfamily, Aminergic toxin sub-subfamily",40,fragment,,Contains 4 disulfide bonds
P85092,Dendroaspis angusticeps (Eastern green mamba) (Naja angusticeps),"Snake three-finger toxin family, Short-chain subfamily, Aminergic toxin sub-subfamily",65,,,
P25518,Dendroaspis polylepis polylepis (Black mamba),"Snake three-finger toxin family, Short-chain subfamily, Aminergic toxin sub-subfamily",65,,LD(50) is 56 mg/kg by intravenous injection. {ECO:0000269|PubMed:4029488}.,
P18328,Dendroaspis angusticeps (Eastern green mamba) (Naja angusticeps),"Snake three-finger toxin family, Short-chain subfamily, Aminergic toxin sub-subfamily",86,,,
P80494,Dendroaspis polylepis polylepis (Black mamba),"Snake three-finger toxin family, Short-chain subfamily, Aminergic toxin sub-subfamily",66,,,
P25683,Dendroaspis jamesoni kaimosae (Eastern Jameson's mamba),"Snake three-finger toxin family, Short-chain subfamily, L-type calcium blocker sub-subfamily",60,,LD(50) is 13.7 mg/kg by intravenous injection. {ECO:0000269|PubMed:7428994}.,
C0HJT5,Hemachatus haemachatus (Rinkhals) (Sepedon haemachatus),"Snake three-finger toxin family, Short-chain subfamily, Orphan group I sub-subfamily",65,,,
P83346,Bungarus candidus (Malayan krait),"Snake three-finger toxin family, Short-chain subfamily, Orphan group III sub-subfamily",65,,,
Q9YGI8,Bungarus multicinctus (Many-banded krait),"Snake three-finger toxin family, Short-chain subfamily, Orphan group III sub-subfamily",86,,,
P0CAR2,Micrurus pyrrhocryptus (Coral snake),"Snake three-finger toxin family, Short-chain subfamily, Orphan group III sub-subfamily",47,fragment,,
P01415,Naja haje haje (Egyptian cobra),"Snake three-finger toxin family, Short-chain subfamily, Orphan group VI sub-subfamily",61,,LD(50) is 16.1 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:710433}.,
P86544,Naja naja (Indian cobra),"Snake three-finger toxin family, Short-chain subfamily, Orphan group VIII (haditoxin) sub-subfamily",26,fragment,,
Q9YGI0,Bungarus multicinctus (Many-banded krait),"Snake three-finger toxin family, Short-chain subfamily, Orphan group IX sub-subfamily",86,,,
P24778,Hemachatus haemachatus (Rinkhals) (Sepedon haemachatus),"Snake three-finger toxin family, Short-chain subfamily, Orphan group XIV sub-subfamily",63,,LD(50) is 33.5 mg/kg by intravenous injection into mice. {ECO:0000269|PubMed:404150}.,
Q91126,Naja atra (Chinese cobra),"Snake three-finger toxin family, Short-chain subfamily, Orphan group XV sub-subfamily",83,,,
P62394,Naja haje haje (Egyptian cobra),"Snake three-finger toxin family, Short-chain subfamily, Orphan group XV sub-subfamily",62,,LD(50) is 25.2 mg/kg by intravenous injection. {ECO:0000269|PubMed:710433}.,
P14541,Naja kaouthia (Monocled cobra) (Naja siamensis),"Snake three-finger toxin family, Short-chain subfamily, Orphan group XV sub-subfamily",62,,,
P14534,Bungarus fasciatus (Banded krait) (Pseudoboa fasciata),"Snake three-finger toxin family, Short-chain subfamily, Orphan group XVIII sub-subfamily",63,,,
P25678,Naja annulifera (Banded Egyptian cobra) (Naja haje annulifera),"Snake three-finger toxin family, Short-chain subfamily, Orphan group XX sub-subfamily",61,,LD(50) is 15.4 mg/kg by intravenous injection. {ECO:0000269|PubMed:852822}.,
P81946,Dendroaspis angusticeps (Eastern green mamba) (Naja angusticeps),"Snake three-finger toxin family, Short-chain subfamily, Antiplatelet toxin sub-subfamily",59,,,
P82463,Naja kaouthia (Monocled cobra) (Naja siamensis),"Snake three-finger toxin family, Short-chain subfamily, Type C muscarinic toxin sub-subfamily",65,,,
P0DKR6,Dendroaspis polylepis polylepis (Black mamba),"Snake three-finger toxin family, Short-chain subfamily",78,,,
K9MCX0,Micrurus laticollaris (Balsas coral snake),"Snake three-finger toxin family, Short-chain subfamily",79,,,
C0HJB0,Dendroaspis angusticeps (Eastern green mamba) (Naja angusticeps),"Snake three-finger toxin family, Short-chain subfamily",57,,,
Q2VBN3,Ophiophagus hannah (King cobra) (Naja hannah),"Snake three-finger toxin family, Short-chain subfamily",83,,,
C0JB18,Loxosceles amazonica (Recluse spider),"Arthropod phospholipase D family, Class II subfamily",275,fragment,,
A4USB4,Loxosceles intermedia (Brown spider),"Arthropod phospholipase D family, Class II subfamily",307,,,
C0JB32,Loxosceles hirsuta (Recluse spider),"Arthropod phospholipase D family, Class II subfamily",275,fragment,,
Q3C258,Actinia equina (Beadlet anemone),,70,,LD(50) is 520 ug/kg against crab (P.dehaani). {ECO:0000269|PubMed:16183092}.,
C5NSL2,Anthopleura asiatica (Sea anemone),"Actinoporin family, Sea anemone subfamily",213,,LD(100) is 0.58 mg/kg to crayfish.,
P58689,Heteractis magnifica (Magnificent sea anemone) (Radianthus magnifica),"Actinoporin family, Sea anemone subfamily",20,fragment,LD(50) is 140 ug/kg by intravenous injection into mice. {ECO:0000269|PubMed:8146870}.,
P0DN67,Terebra subulata (Chocolate spotted auger) (Buccinum subulatum),"Actinoporin family, Conoidea subfamily",207,fragment,,
P58690,Heteractis magnifica (Magnificent sea anemone) (Radianthus magnifica),"Actinoporin family, Sea anemone subfamily",22,fragment,LD(50) is 320 ug/kg by intravenous injection into mice. {ECO:0000269|PubMed:8146870}.,
Q9U6X1,Heteractis magnifica (Magnificent sea anemone) (Radianthus magnifica),"Actinoporin family, Sea anemone subfamily",211,,,
Q93109,Actinia equina (Beadlet anemone),"Actinoporin family, Sea anemone subfamily",214,,,
P0DKQ8,Conus consors (Singed cone),"Actinoporin family, Conoidea subfamily",248,,,"9 isoforms are detected in the injectable venom, mainly corresponding to different oxidative states."
C0HJI9,Bungarus fasciatus (Banded krait) (Pseudoboa fasciata),"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",25,fragment,,
P68416,Hydrophis hardwickii (Hardwick's spine-bellied seasnake) (Lapemis hardwickii),"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",81,,LD(50) is 0.0956 mg/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:12040423}.,
Q9YGC2,Laticauda laticaudata (Blue-ringed sea krait) (Blue-lipped sea krait),"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",83,,,
P80548,Micrurus nigrocinctus (Central American coral snake) (Gargantilla),"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",60,,LD(50) is 65 ug/kg by intraperitoneal injection into mice (1.3 ug/mouse). {ECO:0000269|PubMed:8665942}.,
