Entry,Organism,Organism (ID),Protein families,Length,Fragment,Toxic dose,PTM,Gene Ontology (GO),Gene Ontology (molecular function),Protein existence
Q8UW28,Hydrophis hardwickii (Hardwick's spine-bellied seasnake) (Lapemis hardwickii),8781,Snake three-finger toxin family,92,,,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;
P0DQQ1,Naja melanoleuca (Forest cobra) (Black-lipped cobra),8643,Snake three-finger toxin family,72,,,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P25671,Naja naja (Indian cobra),35670,Snake three-finger toxin family,71,,LD(50) is 0.10 to 0.15 mg/kg by subcutaneous injection. {ECO:0000269|Ref.1}.,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P07526,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake three-finger toxin family,73,,,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
F8J2D7,Drysdalia coronoides (White-lipped snake) (Hoplocephalus coronoides),66186,Snake three-finger toxin family,108,,,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
F8J2E5,Drysdalia coronoides (White-lipped snake) (Hoplocephalus coronoides),66186,Snake three-finger toxin family,92,,,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
C0HJD7,Dendroaspis polylepis polylepis (Black mamba),8620,Snake three-finger toxin family,72,,,"Amidation does not significantly affect toxin selectivity, since the activity profile and binding data are reminiscent of classical long-chain 3-finger toxins with a free carboxyl termini. {ECO:0000269|PubMed:24867092}.",GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0DQQ2,Naja melanoleuca (Forest cobra) (Black-lipped cobra),8643,Snake three-finger toxin family,71,,,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P25672,Naja naja (Indian cobra),35670,Snake three-finger toxin family,71,,LD(50) is 0.22 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:7326259}.,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P80156,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake three-finger toxin family,72,,,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
Q53B58,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake three-finger toxin family,93,,LD(50) is 120 ug/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:15302536}.,,GO:0044511 (envenomation resulting in modulation of receptor activity in another organism); GO:0005615 (extracellular space); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0008200 (ion channel inhibitor activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0008200 (ion channel inhibitor activity); GO:0090729 (toxin activity),1: Evidence at protein level;
Q53B57,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake three-finger toxin family,91,,,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
Q53B56,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake three-finger toxin family,91,,,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;
P25673,Naja naja (Indian cobra),35670,Snake three-finger toxin family,71,,,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P80965,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake three-finger toxin family,72,,LD(50) is 0.25 mg/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:9163519}.,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P82662,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake three-finger toxin family,91,,LD(50) is 100 ug/kg by intraperitoneal injection into mice.,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
F8J2E1,Drysdalia coronoides (White-lipped snake) (Hoplocephalus coronoides),66186,Snake three-finger toxin family,92,,,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
F8J2E2,Drysdalia coronoides (White-lipped snake) (Hoplocephalus coronoides),66186,Snake three-finger toxin family,92,,,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
C0HM09,Naja naja (Indian cobra),35670,Snake three-finger toxin family,71,,,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
O42257,Naja sputatrix (Malayan spitting cobra) (Naja naja sputatrix),33626,Snake three-finger toxin family,90,,LD(50) is 0.14 mg/kg by intravenous injection into mice. {ECO:0000269|PubMed:14572646}.,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P86522,Acanthophis antarcticus (Common death adder),8605,Snake three-finger toxin family,35,fragment,,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
Q7T3J2,Bungarus candidus (Malayan krait),92438,Snake three-finger toxin family,95,,LD(50) is 230 ug/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:14505938}.,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
D2N116,Bungarus caeruleus (Indian krait),132961,Snake three-finger toxin family,76,fragment,,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;
P0C8R7,Laticauda colubrina (Yellow-lipped sea krait) (Banded sea krait),8628,Snake three-finger toxin family,69,,LD(50) is 0.12 mg/kg by intramuscular injection into mice. {ECO:0000269|PubMed:7159381}.,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0C8R8,Laticauda colubrina (Yellow-lipped sea krait) (Banded sea krait),8628,Snake three-finger toxin family,69,,LD(50) is 0.12 mg/kg by intramuscular injection into mice. {ECO:0000269|PubMed:7159381}.,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P13495,Pseudonaja textilis (Eastern brown snake),8673,Snake three-finger toxin family,71,,LD(50) is 0.015 mg/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:3595609}.,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P34073,Acanthophis antarcticus (Common death adder),8605,Snake three-finger toxin family,74,,,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P14612,Pseudechis australis (Mulga snake) (King brown snake),8670,Snake three-finger toxin family,89,,,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
Q7T2I3,Laticauda laticaudata (Blue-ringed sea krait) (Blue-lipped sea krait),8630,Snake three-finger toxin family,87,fragment,,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;
P0CJ35,Oxyuranus scutellatus scutellatus (Australian taipan) (Coastal taipan),8667,Snake three-finger toxin family,28,fragment,LD(50) of the heterotrimer is 50-100 ug/kg to mice. {ECO:0000269|PubMed:1485334}.,,GO:0005576 (extracellular region); GO:0005246 (calcium channel regulator activity); GO:0015459 (potassium channel regulator activity); GO:0090729 (toxin activity),GO:0005246 (calcium channel regulator activity); GO:0015459 (potassium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P85140,Bungarus candidus (Malayan krait),92438,Snake three-finger toxin family,73,,LD(50) is 0.16 ug/g by intravenous injection into mice. {ECO:0000269|PubMed:19728988}.,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
A7X4Q3,Oxyuranus microlepidotus (Inland taipan) (Diemenia microlepidota),111177,Snake three-finger toxin family,92,,,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;
