Entry,Organism,Organism (ID),Protein families,Length,Fragment,Toxic dose,PTM
O12963,Bungarus multicinctus (Many-banded krait),8616,snake three-finger toxin family. Non- conventional subfamily. Orphan group V sub-subfamily,89,,,
Q9YGJ0,Bungarus multicinctus (Many-banded krait),8616,snake three-finger toxin family. Non- conventional subfamily. Orphan group V sub-subfamily,89,,LD(50) is 0.15 mg/kg by intravenous injection into mice. {ECO:0000269|PubMed:10082161}.,
Q9YGH0,Bungarus multicinctus (Many-banded krait),8616,snake three-finger toxin family. Non- conventional subfamily. Orphan group XVII sub-subfamily,103,,,
Q8JFX7,Bungarus multicinctus (Many-banded krait),8616,snake three-finger toxin family. Non- conventional subfamily. Orphan group XVII sub-subfamily,103,,,
Q9PW19,Bungarus multicinctus (Many-banded krait),8616,snake three-finger toxin family. Non- conventional subfamily. Orphan group XVII sub-subfamily,103,,,
P25682,Dendroaspis jamesoni kaimosae (Eastern Jameson's mamba),8619,snake three-finger toxin family. Non- conventional subfamily. Orphan group XIX sub-subfamily,63,,LD(50) is 10 mg/kg by intravenous injection. {ECO:0000269|Ref.1}.,
P81782,Bungarus candidus (Malayan krait),92438,snake three-finger toxin family. Non- conventional subfamily. Orphan group XIX sub-subfamily,63,,,
C0HJT4,Dendroaspis angusticeps (Eastern green mamba) (Naja angusticeps),8618,snake three-finger toxin family. Non- conventional subfamily. Orphan group XIX sub-subfamily,63,,,Contains 4 disulfide bonds. {ECO:0000269|PubMed:27044983}.
C0HKZ8,Walterinnesia aegyptia (Desert black snake),64182,snake three-finger toxin family. Non- conventional subfamily. Orphan group XIX sub-subfamily,63,,,
A7X3M9,Erythrolamprus poecilogyrus (Water snake) (Liophis poecilogyrus),338838,snake three-finger toxin family. Non- conventional subfamily,85,,,
A7X3R6,Leioheterodon madagascariensis (Malagasy giant hognose snake) (Heterodon madagascariensis),46577,snake three-finger toxin family. Non- conventional subfamily,85,,,
C0HJR1,Micrurus mipartitus (Red-tailed coral snake),430902,snake three-finger toxin family. Non- conventional subfamily,64,,LD(50) is 0.013-0.027 mg/kg by intracerebroventricular injection in mice. {ECO:0000269|PubMed:25675485}.,
C0HJR2,Micrurus mipartitus (Red-tailed coral snake),430902,snake three-finger toxin family. Non- conventional subfamily,64,,LD(50) is 0.01 mg/kg by intracerebroventricular injection in mice. {ECO:0000269|PubMed:25675485}.,
P86096,Micrurus surinamensis (Surinam coral snake),129470,snake three-finger toxin family. Non- conventional subfamily,64,,,
P86423,Micrurus frontalis (Coral snake),129461,snake three-finger toxin family. Non- conventional subfamily,64,,,
P86098,Micrurus surinamensis (Surinam coral snake),129470,snake three-finger toxin family. Non- conventional subfamily,64,,,
P86424,Micrurus frontalis (Coral snake),129461,snake three-finger toxin family. Non- conventional subfamily,64,,,
P86099,Micrurus surinamensis (Surinam coral snake),129470,snake three-finger toxin family. Non- conventional subfamily,64,,,
P01419,Dendroaspis jamesoni kaimosae (Eastern Jameson's mamba),8619,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,58,,LD(50) is 5.5 mg/kg by intravenous injection. {ECO:0000269|PubMed:465532}.,
Q7T2I1,Laticauda laticaudata (Blue-ringed sea krait) (Blue-lipped sea krait),8630,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,82,fragment,,
Q8UW27,Hydrophis hardwickii (Hardwick's spine-bellied seasnake) (Lapemis hardwickii),8781,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,81,,LD(50) is 0.2192 by intraperitoneal injection into mice. {ECO:0000269|PubMed:12040423}.,
P01412,Ophiophagus hannah (King cobra) (Naja hannah),8665,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,83,,LD(50) is >250 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:881163}.,
C0HJI9,Bungarus fasciatus (Banded krait) (Pseudoboa fasciata),8613,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,25,fragment,,
Q69CJ8,Ophiophagus hannah (King cobra) (Naja hannah),8665,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,83,,,
P01434,Acanthophis antarcticus (Common death adder),8605,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,62,,LD(50) is 0.08 mg/kg by intramuscular injection into mice. {ECO:0000269|PubMed:7337702}.,
P32879,Aipysurus laevis (Olive sea snake),8678,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,60,,LD(50) is 0.067 mg/kg by intramuscular injection into mice. {ECO:0000269|PubMed:1259717}.,
A8S6A4,Austrelaps superbus (Lowland copperhead snake) (Hoplocephalus superbus),29156,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,81,,,
P10808,Bungarus fasciatus (Banded krait) (Pseudoboa fasciata),8613,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,64,,,
A8HDJ7,Cryptophis nigrescens (Eastern small-eyed snake) (Rhinoplocephalus nigrescens),292442,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,81,,,
A6MFK6,Demansia vestigiata (Lesser black whip snake) (Demansia atra),412038,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,84,,,
P01417,Dendroaspis jamesoni kaimosae (Eastern Jameson's mamba),8619,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,60,,LD(50) is 0.11 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:4204636}.,
P01416,Dendroaspis polylepis polylepis (Black mamba),8620,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,60,,LD(50) is 0.09 mg/kg by subcutaneous injection.,
P01418,Dendroaspis viridis (Western green mamba),8621,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,60,,LD(50) is 0.08 mg/kg by intraperitoneal injection. {ECO:0000269|PubMed:4855008}.,
P01425,Hemachatus haemachatus (Rinkhals) (Sepedon haemachatus),8626,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,61,,LD(50) is 0.11 mg/kg by intravenous injection. {ECO:0000269|PubMed:5545078}.,
A8HDJ9,Hoplocephalus stephensii (Stephens' banded snake),196418,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,81,,,
P25494,Hydrophis cyanocinctus (Asian annulated sea snake) (Leioselasma cyanocincta),8686,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,60,,,
P68416,Hydrophis hardwickii (Hardwick's spine-bellied seasnake) (Lapemis hardwickii),8781,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,81,,LD(50) is 0.0956 mg/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:12040423}.,
P01437,Hydrophis lapemoides (Persian gulf sea snake) (Aturia lapemoides),8684,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,60,,LD(50) is 0.09 mg/kg by intramuscular injection into mice. {ECO:0000269|PubMed:6615431}.,
P68413,Hydrophis ornatus (Ornate reef seasnake),8685,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,60,,,
Q5UFR8,Hydrophis peronii (Spiny-headed seasnake) (Acalyptophis peronii),8676,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,81,,"LD(50) is 0.170 mg/kg by intravenous injection into mice for the minor toxin, and 0.125 mg/kg for the major toxin. {ECO:0000269|PubMed:3202959, ECO:0000269|PubMed:3341735}.",
P68415,Hydrophis schistosus (Beaked sea snake) (Enhydrina schistosa),8682,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,60,,LD(50) is 0.2 mg/kg by intravenous injection. {ECO:0000269|PubMed:4676045}.,
P68412,Hydrophis stokesii (Stokes's sea snake) (Astrotia stokesii),355677,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,60,,LD(50) is 0.13 mg/kg by intramuscular injection into mice. {ECO:0000269|PubMed:743209}.,
Q9YGC2,Laticauda laticaudata (Blue-ringed sea krait) (Blue-lipped sea krait),8630,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,83,,,
P86420,Micrurus frontalis (Coral snake),129461,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,56,fragment,LD(50) is 0.25-0.5 mg/kg by intravenous injection into mice. {ECO:0000269|PubMed:9278969}.,
K9MCH1,Micrurus laticollaris (Balsas coral snake),1240351,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,81,,LD(50) is 63.5 ug/kg by intravenous injection into mice (1.27 ug/mouse). {ECO:0000269|PubMed:23438486}.,
P80548,Micrurus nigrocinctus (Central American coral snake) (Gargantilla),8635,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,60,,LD(50) is 65 ug/kg by intraperitoneal injection into mice (1.3 ug/mouse). {ECO:0000269|PubMed:8665942}.,
P86095,Micrurus surinamensis (Surinam coral snake),129470,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,59,,,
P34075,Naja annulata annulata (Banded water cobra) (Boulengerina annulata annulata),8610,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,61,,LD(50) is 0.052 mg/kg by intraperitoneal injection. {ECO:0000269|PubMed:1814007}.,
P34076,Naja christyi (Christy's water cobra) (Boulengerina christyi),8611,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,62,,LD(50) is 0.083 mg/kg by intraperitoneal injection. {ECO:0000269|PubMed:1814007}.,
P68417,Naja annulifera (Banded Egyptian cobra) (Naja haje annulifera),96794,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,61,,LD(50) is 0.105 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:4308169}.,
P68418,Naja haje haje (Egyptian cobra),8642,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,61,,LD(50) is 0.10 mg/kg by intravenous injection. {ECO:0000269|PubMed:718974}.,
P01424,Naja melanoleuca (Forest cobra) (Black-lipped cobra),8643,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,61,,,
P01431,Naja mossambica (Mozambique spitting cobra),8644,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,62,,LD(50) is 0.04 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:923577}.,
P68419,Naja nivea (Cape cobra) (Coluber niveus),8655,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,61,,LD(50) is 0.086 mg/kg by intravenous injection. {ECO:0000269|PubMed:4995745}.,
P01427,Naja oxiana (Central Asian cobra) (Oxus cobra),8657,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,61,,,
P01426,Naja pallida (Red spitting cobra),8658,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,61,,LD(50) is 0.036 mg/kg by subcutaneous injection. {ECO:0000269|Ref.1}.,
P60773,Naja philippinensis (Philippine cobra),8659,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,61,,LD(50) is 0.05 mg/kg by intravenous injection.,
P60774,Naja samarensis (Peters' cobra),8660,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,61,,,
A8HDK0,Notechis scutatus scutatus (Mainland tiger snake) (Common tiger snake),70142,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,81,,,
Q45Z11,Oxyuranus scutellatus scutellatus (Australian taipan) (Coastal taipan),8667,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,83,,LD(50) is 63 ug/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:8672493}.,
P25497,Pseudechis australis (Mulga snake) (King brown snake),8670,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,83,,LD(50) is 0.076 mg/kg by intravenous injection into mice. {ECO:0000269|PubMed:4091794}.,
A8HDJ4,Pseudechis porphyriacus (Red-bellied black snake),8671,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,83,,,
A8HDJ5,Tropidechis carinatus (Australian rough-scaled snake),100989,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,81,,,
F8J2G3,Drysdalia coronoides (White-lipped snake) (Hoplocephalus coronoides),66186,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,81,,,
P0CAR4,Micrurus pyrrhocryptus (Coral snake),129468,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,58,fragment,,
P19959,Aipysurus laevis (Olive sea snake),8678,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,81,,LD(50) is 0.067 mg/kg by intramuscular injection into mice.,
A8HDJ8,Cryptophis nigrescens (Eastern small-eyed snake) (Rhinoplocephalus nigrescens),292442,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,81,,,
P01433,Hemachatus haemachatus (Rinkhals) (Sepedon haemachatus),8626,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,61,,LD(50) is 0.09 mg/kg by intravenous injection. {ECO:0000269|PubMed:5545078}.,
P62376,Hydrophis cyanocinctus (Asian annulated sea snake) (Leioselasma cyanocincta),8686,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,79,fragment,LD(50) is 0.085 mg/kg by intravenous injection. {ECO:0000269|PubMed:4460292}.,
Q8UW26,Hydrophis hardwickii (Hardwick's spine-bellied seasnake) (Lapemis hardwickii),8781,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,81,,LD(50) is 0.3467 mg/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:12040423}.,
Q5UFR7,Hydrophis peronii (Spiny-headed seasnake) (Acalyptophis peronii),8676,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,81,,,
P10457,Laticauda colubrina (Yellow-lipped sea krait) (Banded sea krait),8628,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,83,,,
Q9YGW9,Laticauda laticaudata (Blue-ringed sea krait) (Blue-lipped sea krait),8630,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,83,,,
P01422,Naja annulifera (Banded Egyptian cobra) (Naja haje annulifera),96794,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,61,,LD(50) is 0.12 mg/kg by subcutaneous injection. {ECO:0000269|Ref.1}.,
P25675,Naja haje haje (Egyptian cobra),8642,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,61,,LD(50) is 0.08 mg/kg by intravenous injection. {ECO:0000269|PubMed:718974}.,
P01423,Naja nivea (Cape cobra) (Coluber niveus),8655,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,61,,LD(50) is 0.08 mg/kg by intravenous injection. {ECO:0000269|PubMed:5167022}.,
P0CB06,Oxyuranus scutellatus scutellatus (Australian taipan) (Coastal taipan),8667,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,62,,LD(50) is 63 ug/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:8672493}.,
A8HDJ6,Tropidechis carinatus (Australian rough-scaled snake),100989,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,81,,,
F8J2G5,Drysdalia coronoides (White-lipped snake) (Hoplocephalus coronoides),66186,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,78,,,
P19958,Aipysurus laevis (Olive sea snake),8678,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,60,,LD(50) is 0.076 mg/kg by intramuscular injection into mice. {ECO:0000269|PubMed:1259717}.,
Q9YGC4,Laticauda laticaudata (Blue-ringed sea krait) (Blue-lipped sea krait),8630,snake three-finger toxin family. Short- chain subfamily. Type I alpha-neurotoxin sub-subfamily,83,,,
